case,x1,x2,y,z,n_states,n_edges,row_sum_error,spectral_radius,absorption_margin,status,closed_class_count,high_precision_reward_solve,condition_number,condition_warning,linear_residual,cost_purchase_1,cost_purchase_2,cost_inspection_1,cost_inspection_2,cost_assembly,cost_product_inspection,cost_disassembly,cost_replacement_loss,expected_purchases_1,expected_purchases_2,expected_inspections_1,expected_inspections_2,expected_product_inspections,expected_assemblies,expected_disassemblies,expected_replacements,expected_total_cost,expected_profit,success_probability,factory_defect_rate,exchange_rate,coverage,nominal_profit,worst_profit,worst_parameter_location,robust_status,strategy_bits
1,0,0,0,0,17,20,0.0,0.7701828755488183,0.22981712445118174,SUCCESS_EXACT,0,False,24.310136167821977,False,1.1090062107940233e-17,5.486968449931415,24.691358024691358,0.0,0.0,8.230452674897121,0.0,0.0,2.230452674897119,1.3717421124828537,1.3717421124828537,0.0,0.0,0.0,1.3717421124828535,0.0,0.37174211248285327,40.63923182441701,15.36076817558299,1.0,0.271,0.37174211248285327,90,15.36076817558299,-0.36468791479314433,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",ROBUST_UNCERTIFIED,0000
1,0,0,0,1,33,36,0.0,1.0000000000000004,-4.440892098500626e-16,NON_ABSORBING,3,False,,,,,,,,,,,,,,,,,,,,,,,,,90,-inf,-inf,"{""p1"": 0.045870556724087796, ""p2"": 0.045870556724087796, ""pf"": 0.045870556724087796}",ROBUST_UNCERTIFIED,0001
1,0,0,1,0,17,20,0.0,0.7701828755488183,0.22981712445118174,SUCCESS_EXACT,0,False,24.310136167821977,False,1.3021687761395176e-17,5.486968449931415,24.691358024691358,0.0,0.0,8.230452674897121,4.1152263374485605,0.0,0.0,1.3717421124828537,1.3717421124828537,0.0,0.0,1.3717421124828535,1.3717421124828535,0.0,0.0,42.52400548696845,13.475994513031551,1.0,0.0,0.0,90,13.475994513031551,-0.8619213340761007,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",ROBUST_UNCERTIFIED,0010
1,0,0,1,1,33,36,0.0,1.0000000000000004,-4.440892098500626e-16,NON_ABSORBING,3,False,,,,,,,,,,,,,,,,,,,,,,,,,90,-inf,-inf,"{""p1"": 0.045870556724087796, ""p2"": 0.045870556724087796, ""pf"": 0.045870556724087796}",ROBUST_UNCERTIFIED,0011
1,0,1,0,0,15,20,0.0,0.7428324017709614,0.25716759822903856,SUCCESS_EXACT,0,False,19.25696010481656,False,1.8050263616324568e-17,4.938271604938272,24.691358024691358,0.0,4.11522633744856,7.407407407407407,0.0,0.0,1.4074074074074074,1.234567901234568,1.3717421124828533,0.0,1.3717421124828535,0.0,1.2345679012345678,0.0,0.2345679012345679,42.559670781893004,13.440329218106996,1.0,0.19,0.2345679012345679,90,13.440329218106996,-0.4944354964335105,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",ROBUST_UNCERTIFIED,0100
1,0,1,0,1,23,28,0.0,1.0000000000000004,-4.440892098500626e-16,NON_ABSORBING,1,False,,,,,,,,,,,,,,,,,,,,,,,,,90,-inf,-inf,"{""p1"": 0.045870556724087796, ""p2"": 0.045870556724087796, ""pf"": 0.045870556724087796}",ROBUST_UNCERTIFIED,0101
1,0,1,1,0,15,20,0.0,0.7428324017709614,0.25716759822903856,SUCCESS_EXACT,0,False,19.25696010481656,False,1.799925949632344e-17,4.938271604938272,24.691358024691358,0.0,4.11522633744856,7.407407407407407,3.7037037037037037,0.0,0.0,1.234567901234568,1.3717421124828533,0.0,1.3717421124828535,1.2345679012345678,1.2345679012345678,0.0,0.0,44.855967078189295,11.144032921810705,1.0,0.0,0.0,90,11.144032921810705,-1.999109978043343,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",ROBUST_UNCERTIFIED,0110
1,0,1,1,1,23,28,0.0,1.0000000000000004,-4.440892098500626e-16,NON_ABSORBING,1,False,,,,,,,,,,,,,,,,,,,,,,,,,90,-inf,-inf,"{""p1"": 0.045870556724087796, ""p2"": 0.045870556724087796, ""pf"": 0.045870556724087796}",ROBUST_UNCERTIFIED,0111
1,1,0,0,0,13,18,0.0,0.7320468484390047,0.2679531515609953,SUCCESS_EXACT,0,False,17.58600381666967,False,7.967767912629718e-18,5.486968449931413,22.22222222222222,2.7434842249657065,0.0,7.407407407407408,0.0,0.0,1.4074074074074074,1.3717421124828533,1.2345679012345678,1.3717421124828533,0.0,0.0,1.234567901234568,0.0,0.23456790123456792,39.26748971193416,16.73251028806584,1.0000000000000002,0.19000000000000003,0.23456790123456792,90,16.73251028806584,6.041211654664252,"{""p1"": 0.18307901081197567, ""p2"": 0.18307901081197567, ""pf"": 0.18307901081197567}",ROBUST_UNCERTIFIED,1000
1,1,0,0,1,21,26,0.0,1.0000000000000004,-4.440892098500626e-16,NON_ABSORBING,1,False,,,,,,,,,,,,,,,,,,,,,,,,,90,-inf,-inf,"{""p1"": 0.045870556724087796, ""p2"": 0.045870556724087796, ""pf"": 0.045870556724087796}",ROBUST_UNCERTIFIED,1001
